"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/department/",44795,1300,1800,2300,2500,4200,5300,9000,17000,72609
"POST /api/department/",4480,1300,1800,2300,2500,4300,5400,9300,17000,66941
"GET /api/department/1",44852,1300,1800,2300,2500,4200,5400,9100,17000,79316
"GET /api/medicine/",45003,1300,1800,2300,2500,4200,5400,9000,17000,72578
"POST /api/medicine/",4579,1300,1800,2300,2500,4100,5300,9000,17000,66842
"GET /api/medicine/1",45101,1300,1800,2300,2400,4200,5300,9000,17000,80063
"GET /api/user/",44973,1300,1800,2300,2500,4200,5300,9100,17000,79330
"POST /api/user/login",173,2900,3600,4500,5800,17000,20000,35000,73000,93271
"Total",233956,1300,1800,2300,2500,4200,5400,9100,17000,93271
