"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/department/",34894,1700,2600,3300,4600,8800,17000,34000,44000,142867
"POST /api/department/",3453,1700,2600,3300,4600,8800,17000,34000,47000,141887
"GET /api/department/1",34664,1700,2600,3200,4500,8700,16000,34000,40000,120802
"GET /api/medicine/",34440,1700,2600,3300,4600,8800,16000,34000,38000,141678
"POST /api/medicine/",3438,1700,2600,3300,4600,8900,17000,34000,66000,120908
"GET /api/medicine/1",34586,1700,2600,3300,4500,8700,17000,34000,56000,124459
"GET /api/user/",34551,1700,2600,3300,4600,8800,16000,34000,41000,174276
"POST /api/user/login",368,8300,11000,12000,13000,32000,37000,68000,73000,128207
"Total",180394,1700,2600,3300,4600,8800,17000,34000,44000,174276
